term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,dropped_state,outcome,treatment,diff_n,inference_standard
d2_l1_disp_top10_share_z,-0.7349444332751871,0.9109902276719164,-0.8067533667769152,0.42370717214561604,-2.5656478360713986,1.0957589695210244,long_diff_2y,198,rich,Utah,frequent_mental_distress_rate,l1_disp_top10_share_z,2,conventional_clustered
d2_l1_disp_top10_share_z,-0.8200429483529798,0.910846244902998,-0.900308864357575,0.37235953737551775,-2.6504570069421995,1.0103711102362403,long_diff_2y,198,rich,Vermont,frequent_mental_distress_rate,l1_disp_top10_share_z,2,conventional_clustered
d2_l1_disp_top10_share_z,-0.6579545937514224,0.9094330495960514,-0.7234777689722957,0.4728261587127669,-2.4855287300465747,1.1696195425437301,long_diff_2y,198,rich,Virginia,frequent_mental_distress_rate,l1_disp_top10_share_z,2,conventional_clustered
d2_l1_disp_top10_share_z,-0.8066307877185201,0.9292769950075834,-0.8680197530467625,0.3896149685055321,-2.6740828253196316,1.0608212498825915,long_diff_2y,198,rich,Washington,frequent_mental_distress_rate,l1_disp_top10_share_z,2,conventional_clustered
d2_l1_disp_top10_share_z,-0.7867286010367563,0.8967397719943572,-0.8773209637920542,0.3845936551166552,-2.588794640985537,1.0153374389120242,long_diff_2y,198,rich,West Virginia,frequent_mental_distress_rate,l1_disp_top10_share_z,2,conventional_clustered
d2_l1_disp_top10_share_z,-0.7127282094733427,0.9245233243101819,-0.77091425465672625,0.44445928352196273,-2.5706273881554895,1.1451709692088041,long_diff_2y,198,rich,Wisconsin,frequent_mental_distress_rate,l1_disp_top10_share_z,2,conventional_clustered
d2_l1_disp_top10_share_z,-0.5720661690323069,0.9205905804737505,-0.6214121469045584,0.5372088929888754,-2.4220622030867887,1.2779298650221746,long_diff_2y,198,rich,Wyoming,frequent_mental_distress_rate,l1_disp_top10_share_z,2,conventional_clustered
d3_l1_disp_top10_share_z,-0.941753017782315,0.9308654958800221,-1.0116961279051384,0.31665319494144123,-2.8123972674008377,0.9288912318362077,long_diff_3y,148,rich,Alabama,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.9552732357039191,0.9849990560270995,-0.9698214732884347,0.33689847657950744,-2.9347029472916546,1.0241564758838166,long_diff_3y,148,rich,Alaska,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
d3_l1_disp_top10_share_z,-0.8362027696410298,0.9156699264071304,-0.9132141894427933,0.36560152722406947,-2.6763103791327523,1.003904839850693,long_diff_3y,148,rich,Arizona,frequent_mental_distress_rate,l1_disp_top10_share_z,3,conventional_clustered
