term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,sample,outcome,treatment,diff_n,n_states,year_span,inference_standard
d3_l1_disp_top10_share_z,-0.7924558222756316,0.9167403480871764,-0.8644277781916433,0.3914812125196926,-2.633783001856553,1.04887135730529,long_diff_3y,151,rich,full,frequent_mental_distress_rate,l1_disp_top10_share_z,3,51,2012-2019,conventional_clustered
d3_l1_disp_top10_share_z,-0.47223472050809706,0.9525307047221778,-0.49576850191494093,0.6222741282848794,-2.386416837323049,1.4419473963068552,long_diff_3y,148,rich,exclude_dc,frequent_mental_distress_rate,l1_disp_top10_share_z,3,50,2012-2019,conventional_clustered
d3_l1_disp_top10_share_z,1.8340710115563892,2.14358327997759,0.8556098700189355,0.3963781993859239,-2.4736208666108492,6.141762889723628,long_diff_3y,50,rich,late_period,frequent_mental_distress_rate,l1_disp_top10_share_z,3,51,2016-2019,conventional_clustered
d3_l1_disp_top10_share_z,-0.23141467376947478,0.9711250457176058,-0.2382954438153457,0.8130031687233861,-2.200947553191217,1.7381182056522677,long_diff_3y,111,rich,exclude_top_ineq_states,frequent_mental_distress_rate,l1_disp_top10_share_z,3,38,2012-2019,conventional_clustered
l1_disp_top10_share_z,0.605550050308378,0.9754771451539984,0.6207731809162786,0.5375684887799431,-1.3537534582367217,2.564853558853478,dynamic_fe,304,rich,full,fair_poor_health_rate,l1_disp_top10_share_z,NA,51,2012-2019,conventional_clustered
l1_disp_top10_share_z,1.0680515278789853,0.9519788787241512,1.1219277567485484,0.2673610229854567,-0.8450216530751287,2.981124708833099,dynamic_fe,298,rich,exclude_dc,fair_poor_health_rate,l1_disp_top10_share_z,NA,50,2012-2019,conventional_clustered
l1_disp_top10_share_z,1.5262340860809946,1.364692924394216,1.1183718027691,0.2688612529386238,-1.2162190210671076,4.268687193229097,dynamic_fe,100,rich,early_period,fair_poor_health_rate,l1_disp_top10_share_z,NA,51,2012-2015,conventional_clustered
l1_disp_top10_share_z,2.73821075204256,1.3811843410354825,1.9825092644691484,0.052930636016031395,-0.035979641635143,5.512401145720263,dynamic_fe,152,rich,late_period,fair_poor_health_rate,l1_disp_top10_share_z,NA,51,2016-2019,conventional_clustered
l1_disp_top10_share_z,2.261991146216243,1.0252758512601552,2.2062268836587293,0.03383473171305976,0.18263534292539774,4.341346949507089,dynamic_fe,222,rich,exclude_top_ineq_states,fair_poor_health_rate,l1_disp_top10_share_z,NA,38,2012-2019,conventional_clustered
d2_l1_disp_top10_share_z,0.7597094877581602,1.456055152131589,0.5217587305302173,0.604142086456936,-2.1648633557770025,3.6842823312933226,long_diff_2y,202,rich,full,fair_poor_health_rate,l1_disp_top10_share_z,2,51,2012-2019,conventional_clustered
d2_l1_disp_top10_share_z,1.3047926550843074,1.4458709226732953,0.9024267897108368,0.3712450210058341,-1.6007937472051526,4.210379057373768,long_diff_2y,198,rich,exclude_dc,fair_poor_health_rate,l1_disp_top10_share_z,2,50,2012-2019,conventional_clustered
d2_l1_disp_top10_share_z,1.2699571289733043,1.7276250324195181,0.7350884046839403,0.4657197005206135,-2.200079872186291,4.739994130132899,long_diff_2y,101,rich,late_period,fair_poor_health_rate,l1_disp_top10_share_z,2,51,2016-2019,conventional_clustered
d2_l1_disp_top10_share_z,2.396712838972922,1.4265699850053866,1.6800527588303862,0.10160613048391638,-0.4965051895952737,5.289930867541118,long_diff_2y,148,rich,exclude_top_ineq_states,fair_poor_health_rate,l1_disp_top10_share_z,2,38,2012-2019,conventional_clustered
d3_l1_disp_top10_share_z,-0.1995869100660152,1.0127075381844304,-0.19708247696450662,0.8445619630761809,-2.2336698637794816,1.8344960436474513,long_diff_3y,151,rich,full,fair_poor_health_rate,l1_disp_top10_share_z,3,51,2012-2019,conventional_clustered
d3_l1_disp_top10_share_z,0.4132625415578188,0.9432176809983235,0.4381412158436344,0.6632094521655174,-1.4822043533988787,2.308729436514516,long_diff_3y,148,rich,exclude_dc,fair_poor_health_rate,l1_disp_top10_share_z,3,50,2012-2019,conventional_clustered
d3_l1_disp_top10_share_z,-0.16843314538151577,1.9474349871458956,-0.08648973983381418,0.9314295784814579,-4.081950271469006,3.7450839807059753,long_diff_3y,50,rich,late_period,fair_poor_health_rate,l1_disp_top10_share_z,3,51,2016-2019,conventional_clustered
d3_l1_disp_top10_share_z,1.7741695801544781,1.1228487357027626,1.5800610747841028,0.12284038292735126,-0.5030732047327782,4.051412365041735,long_diff_3y,111,rich,exclude_top_ineq_states,fair_poor_health_rate,l1_disp_top10_share_z,3,38,2012-2019,conventional_clustered
