outcome,treatment,learner,backend,theta,se,t_stat,p_value,n,spec,x_var_count,treatment_role
fair_poor_health_rate,l1_disp_mean_median_gap_z,xgboost,DoubleML,0.001757866886926883,0.0011370459549811132,1.5459945829155883,0.12210587610025152,455,baseline,8,alternative
log_real_pce_pc,l1_disp_mean_median_gap_z,glmnet,DoubleML,-0.005857277571667873,0.002292444686267481,-2.5550355071836397,0.01061769663438209,459,baseline,8,alternative
log_real_pce_pc,l1_disp_mean_median_gap_z,ranger,DoubleML,-0.004024712345920516,0.002194259934655661,-1.8342003526360255,0.06662425911761045,459,baseline,8,alternative
log_real_pce_pc,l1_disp_mean_median_gap_z,xgboost,DoubleML,-0.004740108271791757,0.0020524028591466146,-2.309540863611292,0.020913586837205497,459,baseline,8,alternative
real_pce_pc_growth,l1_disp_mean_median_gap_z,glmnet,DoubleML,0.012985735994023624,0.1799610347768596,0.07215859816612592,0.9424756931205795,459,baseline,8,alternative
real_pce_pc_growth,l1_disp_mean_median_gap_z,ranger,DoubleML,-0.027949034469398747,0.18401888948745576,-0.1518813342871737,0.8792805305677114,459,baseline,8,alternative
real_pce_pc_growth,l1_disp_mean_median_gap_z,xgboost,DoubleML,-0.10684367670486365,0.18800353540160417,-0.568306742086681,0.5698267017928831,459,baseline,8,alternative
frequent_mental_distress_rate,l1_disp_top10_share_z,glmnet,DoubleML,7.931642885372823e-4,5.637630423010764e-4,1.4069107568667027,0.15945385346574625,454,rich,13,primary
frequent_mental_distress_rate,l1_disp_top10_share_z,ranger,DoubleML,1.2481229858764563e-4,5.679383110847868e-4,0.2197638302463673,0.8260550902597961,454,rich,13,primary
frequent_mental_distress_rate,l1_disp_top10_share_z,xgboost,DoubleML,4.661337471320485e-5,5.556918830863613e-4,0.08388349035136179,0.9331490660833115,454,rich,13,primary
fair_poor_health_rate,l1_disp_top10_share_z,glmnet,DoubleML,0.0013111989459215789,4.409660460996767e-4,2.9734691764118124,0.0029445397942177882,454,rich,13,primary
fair_poor_health_rate,l1_disp_top10_share_z,ranger,DoubleML,7.831308436127618e-4,4.462214743269564e-4,1.755027242456163,0.07925464806829453,454,rich,13,primary
fair_poor_health_rate,l1_disp_top10_share_z,xgboost,DoubleML,6.772847495221907e-4,4.5581920285820836e-4,1.4858626957251593,0.13731544258050193,454,rich,13,primary
log_real_pce_pc,l1_disp_top10_share_z,glmnet,DoubleML,-0.004388905417937914,0.0010698437697285173,-4.102379751252502,4.089223900091614e-5,458,rich,13,primary
log_real_pce_pc,l1_disp_top10_share_z,ranger,DoubleML,-0.0027918730303319243,0.001069338210115426,-2.610841924399733,0.009031963180869582,458,rich,13,primary
log_real_pce_pc,l1_disp_top10_share_z,xgboost,DoubleML,-0.0017350016373560084,8.870240781218249e-4,-1.9559803168248622,0.05046747284432754,458,rich,13,primary
real_pce_pc_growth,l1_disp_top10_share_z,glmnet,DoubleML,8.555536600135381e-4,0.09396900849314088,0.009104636451240069,0.9927356515062787,458,rich,13,primary
real_pce_pc_growth,l1_disp_top10_share_z,ranger,DoubleML,-0.035619425613996204,0.09279829630420248,-0.3838370641766096,0.70109921513351,458,rich,13,primary
real_pce_pc_growth,l1_disp_top10_share_z,xgboost,DoubleML,-0.013001895230528126,0.08470940236843535,-0.15348821815526026,0.8780132807687926,458,rich,13,primary
frequent_mental_distress_rate,l1_acs_gini_z,glmnet,DoubleML,0.0017754815230382204,0.0013374461604276355,1.3275162586511349,0.1843379652775326,454,rich,13,alternative
frequent_mental_distress_rate,l1_acs_gini_z,ranger,DoubleML,2.7099554811186953e-4,0.0013892107855181706,0.19507158376314304,0.8453369080851998,454,rich,13,alternative
frequent_mental_distress_rate,l1_acs_gini_z,xgboost,DoubleML,4.3559821031036676e-4,0.001450852070933977,0.3002361295386601,0.7639970481453175,454,rich,13,alternative
fair_poor_health_rate,l1_acs_gini_z,glmnet,DoubleML,0.0030668541055080796,0.0016368376674711404,1.873645851666077,0.0609792538177813,454,rich,13,alternative
fair_poor_health_rate,l1_acs_gini_z,ranger,DoubleML,9.611166158200058e-4,0.0017478766747802052,0.5498766759049896,0.5824039629263391,454,rich,13,alternative
fair_poor_health_rate,l1_acs_gini_z,xgboost,DoubleML,-6.079302860683751e-4,0.00177776997253555,-0.3419622872813588,0.732379273559264,454,rich,13,alternative
log_real_pce_pc,l1_acs_gini_z,glmnet,DoubleML,0.0033961393736679888,0.0031509027583689077,1.0778305882806838,0.2811093662373394,458,rich,13,alternative
log_real_pce_pc,l1_acs_gini_z,ranger,DoubleML,0.00368957207409863,0.003031666377633536,1.2170112454717537,0.22359993727177552,458,rich,13,alternative
log_real_pce_pc,l1_acs_gini_z,xgboost,DoubleML,0.0013815916021374872,0.0027367187651643875,0.504835067352819,0.6136746835135409,458,rich,13,alternative
real_pce_pc_growth,l1_acs_gini_z,glmnet,DoubleML,0.39826141290424544,0.2346755651680231,1.697072350157538,0.08968298291916063,458,rich,13,alternative
real_pce_pc_growth,l1_acs_gini_z,ranger,DoubleML,0.3287906516102285,0.2373049567434983,1.385519527793162,0.16589366560047716,458,rich,13,alternative
real_pce_pc_growth,l1_acs_gini_z,xgboost,DoubleML,0.3193396454612443,0.24165796603975276,1.3214530052310087,0.18635036229312338,458,rich,13,alternative
frequent_mental_distress_rate,l1_disp_mean_median_gap_z,glmnet,DoubleML,-5.820031693007727e-4,0.001290883162695103,-0.4508565810756008,0.6520929185279147,454,rich,13,alternative
frequent_mental_distress_rate,l1_disp_mean_median_gap_z,ranger,DoubleML,-6.440609936755669e-4,0.0013017887222876252,-0.4947507860905128,0.6207760475588913,454,rich,13,alternative
frequent_mental_distress_rate,l1_disp_mean_median_gap_z,xgboost,DoubleML,-8.648626041867311e-4,0.0013864619810295652,-0.623791071100628,0.5327648042929816,454,rich,13,alternative
fair_poor_health_rate,l1_disp_mean_median_gap_z,glmnet,DoubleML,0.0029990705106654842,0.0012223702597465845,2.453487792878106,0.014147834124988667,454,rich,13,alternative
fair_poor_health_rate,l1_disp_mean_median_gap_z,ranger,DoubleML,0.002735227975586259,0.0011973390973769936,2.284422167102296,0.022346732033384897,454,rich,13,alternative
fair_poor_health_rate,l1_disp_mean_median_gap_z,xgboost,DoubleML,0.0027293274176322826,0.0011821847854749975,2.3087147213924335,0.020959416893460578,454,rich,13,alternative
log_real_pce_pc,l1_disp_mean_median_gap_z,glmnet,DoubleML,-0.007074625158513305,0.00230853886266296,-3.0645467022168904,0.002180001349904775,458,rich,13,alternative
log_real_pce_pc,l1_disp_mean_median_gap_z,ranger,DoubleML,-0.004122949785042114,0.0023076136354090696,-1.7866724835465102,0.07399043894074592,458,rich,13,alternative
log_real_pce_pc,l1_disp_mean_median_gap_z,xgboost,DoubleML,-0.004892630987583617,0.0021461005567773223,-2.2797771391153283,0.022620909529698245,458,rich,13,alternative
real_pce_pc_growth,l1_disp_mean_median_gap_z,glmnet,DoubleML,0.010071744828492452,0.18232298043643502,0.0552412252387672,0.9559462860680523,458,rich,13,alternative
real_pce_pc_growth,l1_disp_mean_median_gap_z,ranger,DoubleML,-0.054236573082110454,0.18894233040273722,-0.2870535838448869,0.7740712918516481,458,rich,13,alternative
real_pce_pc_growth,l1_disp_mean_median_gap_z,xgboost,DoubleML,-0.10317621738291508,0.19455560625309642,-0.5303173697739332,0.5958919055860423,458,rich,13,alternative
