term,estimate,std.error,statistic,p.value,conf.low,conf.high,h,outcome,treatment,spec,weighted,weight_var,control_count,treatment_role
l1_acs_gini_z,7.202735515080676e-4,0.0015923175903782224,0.4523428968318948,0.6529784808722028,-0.0024779904540044376,0.003918537557020573,0,fair_poor_health_rate,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_acs_gini_z,0.0025238739824944402,0.002264530897095793,1.1145239774521287,0.27038316669542534,-0.002024570185501024,0.007072318150489905,1,fair_poor_health_rate,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_acs_gini_z,8.439299024037031e-4,0.002375498106172263,0.35526439705883905,0.7238858622539537,-0.003927398464526696,0.0056152582693341025,2,fair_poor_health_rate,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_acs_gini_z,-0.0036189483687492645,0.004660797864631816,-0.7764654194105769,0.44113201631322685,-0.012980436389415265,0.005742539651916737,3,fair_poor_health_rate,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_acs_gini_z,0.003944635229143943,0.002152126659004495,1.8329010574910145,0.07277467837376626,-3.780383821945024e-4,0.008267308840482388,0,log_real_pce_pc,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_acs_gini_z,0.006727924667160503,0.002914262730622941,2.3086198085243907,0.0251372837870821,8.744557045121506e-4,0.012581393629808854,1,log_real_pce_pc,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_acs_gini_z,0.009633434935931343,0.0056455359360157225,1.706380943299785,0.09414191333610945,-0.001705957711045333,0.02097282758290802,2,log_real_pce_pc,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_acs_gini_z,0.002550080039434752,0.006047564694742789,0.42167056793151186,0.6750729305751326,-0.009596811134209732,0.014696971213079236,3,log_real_pce_pc,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_acs_gini_z,0.34328780458343994,0.21509291432534208,1.595997737350821,0.11679123172380117,-0.08873902843303416,0.775314637599914,0,real_pce_pc_growth,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_acs_gini_z,0.27198767811107044,0.3112850205958319,0.8737576822375125,0.3864276205738941,-0.3532466864671607,0.8972220426893016,1,real_pce_pc_growth,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_acs_gini_z,0.7631862022162605,0.6434801023331874,1.1860292174521514,0.24121634562956373,-0.529281620780593,2.055654025213114,2,real_pce_pc_growth,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_acs_gini_z,-0.3588942638993586,1.1411421942664841,-0.31450441995973394,0.7544466066488269,-2.6509458163959616,1.9331572885972443,3,real_pce_pc_growth,l1_acs_gini_z,baseline,FALSE,NA,8,alternative
l1_disp_mean_median_gap_z,-8.808830761551153e-4,0.0013954328068047687,-0.6312615497210088,0.5307449069815885,-0.003683692355587174,0.0019219262032769433,0,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,baseline,FALSE,NA,8,alternative
